CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
292170;2921708;MORRO DO CHAPÉU;-41,16706;-11,464875;35413;05/06/2020;2;0;0;5,65
292180;2921807;MORTUGABA;-42,320291;-14,972641;12042;05/06/2020;0;0;NA;0
292190;2921906;MUCUGÊ;-41,474908;-13,065099;9062;05/06/2020;4;0;0;44,14
292200;2922003;MUCURI;-39,867012;-18,059175;41748;05/06/2020;55;1;1,82;131,74
292205;2922052;MULUNGU DO MORRO;-41,523939;-11,977766;10889;05/06/2020;3;1;33,33;27,55
292210;2922102;MUNDO NOVO;-40,559365;-11,952823;26776;05/06/2020;1;1;100;3,73
292220;2922201;MUNIZ FERREIRA;-39,087693;-13,002487;7422;05/06/2020;1;0;0;13,47
292225;2922250;MUQUÉM DE SÃO FRANCISCO;-43,498618;-12,211864;11348;05/06/2020;0;0;NA;0
292230;2922300;MURITIBA;-39,086288;-12,621753;29399;05/06/2020;11;1;9,09;37,42
292240;2922409;MUTUÍPE;-39,506624;-13,311879;22221;05/06/2020;16;0;0;72
292250;2922508;NAZARÉ;-38,980867;-12,953683;28525;05/06/2020;6;0;0;21,03
292260;2922607;NILO PEÇANHA;-39,174237;-13,659996;13997;05/06/2020;3;1;33,33;21,43
292265;2922656;NORDESTINA;-39,451411;-10,873094;13130;05/06/2020;9;0;0;68,55
292270;2922706;NOVA CANAÃ;-40,180328;-14,857518;16462;05/06/2020;0;0;NA;0
292273;2922730;NOVA FÁTIMA;-39,635619;-11,621358;7812;05/06/2020;3;0;0;38,4
292275;2922755;NOVA IBIÁ;-39,582809;-13,824994;6591;05/06/2020;1;0;0;15,17
